A10AB01,Insulin (human)
3743428,Actraphane 50 Kohl,Humaninsulin 100 mg,10 Zylinderampullen à 3 ml,60.09,81.41,90.46,"",Kohlpharma GmbH
3743380,Actraphane 30 Kohl,Humaninsulin 100 mg,10 Zylinderampullen à 3 ml,60.09,81.41,90.46,"",Kohlpharma GmbH
3394063,Actrapid Kohl,Humaninsulin 100 mg,10 Fertigspritzen à 3 ml,68.48,91.65,97.20, (P),Kohlpharma GmbH
B01AE03,Argatroban
3081565,ARGATRA  MITSUBISHI,Argatroban 250 mg,Durchstechflasche,,238.11,,"",Mitsubishi Ph Dt. GmbH
B03AA,"Eisen zweiwertig, orale Zubereitungen"
6638927,Aktiferrin,Eisen-II-haltige 50 mg,100 Dragees,,16.77,,"",Merckle Recordati GmbH
C03BA10,Xipamid
3519843,Aquaphor,Xipamid 10 mg,100 Tabletten,6.80,16.40,16.40,0.33 (O),Lilly Deutschland GmbH
C07AB03,Atenolol
4801731,Atebeta,Atenolol 25 mg,50 Filmtabletten,3.05,11.82,12.99,0.71 (O),Betapharm Arzneim. GmbH
3414191,Atehexal,Atenolol 50 mg,50 Filmtabletten,4.86,14.03,15.04,0.42 (O),Hexal AG
3414216,Atehexal,Atenolol 50 mg,100 Filmtabletten,7.60,17.37,19.42,0.26 (O),Hexal AG
3414239,Atehexal,Atenolol 100 mg,50 Filmtabletten,6.93,16.55,18.34,0.25 (O),Hexal AG
C09AA01,Captopril
7112908,Ace Hemmer Ratio,Captopril 12.5 mg,100 Tabletten,3.79,12.72,13.15,0.51 (O),Ratiopharm GmbH
7124828,Adocor,Captopril 50 mg,50 Tabletten,4.25,13.28,13.29,0.27 (O),Tad Pharma GmbH
C09AA03,Lisinopril
3557631,Acerbon,Lisinopril 5 mg,30 Tabletten,3.93,12.90,11.40,0.86 (O),Astrazeneca GmbH
3557648,Acerbon,Lisinopril 5 mg,50 Tabletten,5.74,15.10,,0.60 (O),Astrazeneca GmbH
3557654,Acerbon,Lisinopril 5 mg,100 Tabletten,9.46,19.64,14.65,0.39 (O),Astrazeneca GmbH
4859191,Acerbon,Lisinopril 5 mg,100 Tabletten,10.35,20.73,19.71,0.41 (O),Astrazeneca GmbH
3557720,Acerbon,Lisinopril 20 mg,30 Tabletten,5.43,14.73,13.23,0.25 (O),Astrazeneca GmbH
C09BA01,Captopril und Diuretika
8671797,Adocomp Tad,Hydrochlorothiazid 12.5 mg|Captopril 25 mg,100 Tabletten,11.16,21.72,26.89,"",Tad Pharma  GmbH
C09BA03,Lisinopril und Diuretika
4418110,Acercomp,Hydrochlorothiazid 12.5 mg|Lisinopril-Dihydrat 21.8 mg,30 Tabletten,5.84,15.22,15.22,"",Astrazeneca GmbH
4418133,Acercomp,Hydrochlorothiazid 12.5 mg|Lisinopril-Dihydrat 21.8 mg,100 Tabletten,19.19,31.51,30.51,"",Astrazeneca GmbH
C09CA04,Irbesartan
3386425,Aprovel Emra,Irbesartan 150 mg,56 Tabletten,39.56,56.36,58.31,1.01 (O),Emra-Med Arzneim. GmbH
3387117,Aprovel Emra,Irbesartan 150 mg,98 Tabletten,65.11,87.54,91.58,0.89 (O),Emra-Med Arzneim. GmbH
3387146,Aprovel Emra,Irbesartan 150 mg,56 Filmtabletten,39.56,56.36,58.31,1.01 (O),Emra-Med Arzneim. GmbH
D01AA01,Nystatin
6331755,Adiclair,Nystatin 100000 IE,Suspension à 48 ml,,10.52,10.92,"",Ardeypharm GmbH
6341765,Adiclair,Nystatin 100000 IE,Salbe à 50 g,,13.74,13.82,"",Ardeypharm GmbH
6331749,Adiclair,Nystatin 100000 IE,Suspension à 24 ml,,6.77,6.77,"",Ardeypharm GmbH
D06BB03,Aciclovir
4909888,Acerpes,Aciclovir 50 mg,Creme à 2 g,,4.01,5.11,"",Riemser Arzneim AG
2538169,Aciclo Ct,Aciclovir 50 mg,Creme à 2 g,,4.57,5.11,"",Ct-Arzneimittel GmbH
7518881,Aciclobeta,Aciclovir 50 mg,Creme à 2 g,,4.45,5.11,"",Betapharm Arzneim. GmbH
6873114,Aciclostad,Aciclovir 50 mg,Creme à 2 g,,4.57,5.11,"",Stadapharm GmbH
6873120,Aciclostad,Aciclovir 50 mg,Creme à 5 g,3.64,12.54,13.27,"",Stadapharm GmbH
7334796,Aciclovir Al,Aciclovir 50 mg,Creme à 2 g,,3.78,5.11,"",Aliud Pharma GmbH & Co.
7461276,Aciclovir Ct,Aciclovir 50 mg,Creme à 5 g,3.90,12.86,13.27,"",Ct-Arzneimittel GmbH
6977954,Aciclovir Heumann,Aciclovir 50 mg,Creme à 2 g,,4.64,5.11,"",Heumann Ph GmbH & Co. KG
4899919,Aciclovir Ratio,Aciclovir 50 mg,Creme à 20 g,9.93,20.21,21.72,"",Ratiopharm GmbH
G03HA01,Cyproteron
8778182,Androcur Mevita,Cyproteron-Acetat 50 mg,50 Tabletten,45.09,63.11,69.60,2.52 (O),Mevita Handels GmbH
J01CA04,Amoxicillin
7276538,Amoxicillin Pb,Amoxicillin 1000 mg,20 Tabletten,7.22,16.91,17.40,0.85 (O),Docpharm GmbH & Co KG Aa
J05AB01,Aciclovir
2758333,Aciclo Basics,Aciclovir 400 mg,70 Tabletten,24.51,38.00,43.15,5.43 (O),Basics GmbH
6873143,Aciclostad,Aciclovir 200 mg,25 Tabletten,4.19,13.21,15.92,10.57 (O),Stadapharm GmbH
7342270,Aciclovir Al,Aciclovir 200 mg,25 Tabletten,4.19,13.21,15.92,10.57 (O),Aliud Pharma GmbH & Co.
M01AB11,Acemetacin
6872913,Acemetacin Ct,Acemetacin 30 mg,20 Kapseln,2.72,11.42,11.48,2.28 (O),Ct-Arzneimittel GmbH
6872936,Acemetacin Ct,Acemetacin 30 mg,50 Kapseln,4.64,13.76,13.84,1.10 (O),Ct-Arzneimittel GmbH
6872942,Acemetacin Ct,Acemetacin 30 mg,100 Kapseln,7.58,17.35,17.50,0.69 (O),Ct-Arzneimittel GmbH
6872899,Acemetacin Ct,Acemetacin 60 mg,50 Kapseln,7.62,17.40,17.40,0.70 (O),Ct-Arzneimittel GmbH
6872907,Acemetacin Ct,Acemetacin 60 mg,100 Kapseln,13.16,24.16,24.16,0.48 (O),Ct-Arzneimittel GmbH
3970578,Acemetacin Stada,Acemetacin 60 mg,20 Kapseln,4.00,12.98,13.02,1.30 (O),Stadapharm GmbH
3970584,Acemetacin Stada,Acemetacin 60 mg,50 Kapseln,7.59,17.36,17.40,0.69 (O),Stadapharm GmbH
M04AA01,Allopurinol
8866041,Allowieb,Allopurinol 300 mg,100 Tabletten,5.57,14.90,15.78,0.20 (O),Wieb Ph. Ver. GmbH & Co. KG
N02BA01,Acetylsalicylsäure
3366167,Ass Stada,Acetylsalicylsäure 500 mg,10 Tabletten,,1.34,1.62,0.80 (O),Stadapharm GmbH
4321899,Aspirin Eurim,Acetylsalicylsäure 500 mg,20 Tabletten,,3.67,2.62,1.10 (O),Eurim Pharm Arzneim.
N04BB01,Amantadin
8508011,Adekin,Amantadin 100 mg,100 Filmtabletten,9.95,20.24,20.24,0.40 (O),Desitin Arzneim. GmbH
N06AA09,Amitriptylin
3393750,Amitriptylin Ct,Amitriptylin 75 mg,20 Tabletten,4.98,14.17,14.86,0.71 (O),Ct-Arzneimittel GmbH
3393773,Amitriptylin Ct,Amitriptylin 25 mg,20 Tabletten,2.60,11.27,11.54,1.69 (O),Ct-Arzneimittel GmbH
R03AK05,Reproterol und andere Mittel bei obstruktiven Atemwegserkrankungen 
225437,Aarane,Reproterolhydrochlorid 0.5 mg|Natriumcromoglicat (Ph.Eur.) 1 mg,Dosieraerosol à 10 ml,27.48,41.63,41.63,"",Sanofi-Aventis Dt. GmbH
225443,Aarane,Reproterolhydrochlorid 0.5 mg|Natriumcromoglicat (Ph.Eur.) 1 mg,2 Dosieraerosol à 10 ml,51.10,70.44,70.44,"",Sanofi-Aventis Dt. GmbH
R05CB01,Acetylcystein
636258,Acemuc,Acetylcystein 100 mg,20 Tabletten,2.02,10.57,11.50,2.64 (O),Betapharm Arzneim. GmbH
R05CB06,Ambroxol
